Lugar : Facultad de Psicología, Circuito Ciudad Universitaria Avenida C.U., 04510 Ciudad de México
Edificio : A, Planta baja, Mantén la calma \n No empujar, no correr, no gritar \n Debes suspender inmediatamente cualquier actividad que esté realizando \n Baja las escaleras principales \n Dirígete hacia el punto de reunión de la explanada principal \n Espera indicaciones del personal de la Comisión Local de Seguridad y/o de los brigadistas designados
Edificio: A, Primer piso Salones A101 al A106, Mantén la calma \n Debes suspender inmediatamente cualquier actividad que estes realizando \n Ubica las escaleras cerca del Auditorio Dr. Luis Lara Tapia \n Baja las escaleras \n Dirígite hacia el punto de reunión de la explanada principal \n Espera indicaciones del personal de la Comisión Local de Seguridad y/o de los brigadistas designados
Edificio: A, Primer piso Salones A107 al A111, Mantén la calma \n Debes suspender inmediatamente cualquier actividad que estes realizando \n Ubica las escaleras cerca del Edificio B \n Baja las escaleras \n Dirígite hacia el punto de reunión de la explanada principal \n Espera indicaciones del personal de la Comisión Local de Seguridad y/o de los brigadistas designados
Edificio: A, Segundo piso Salones A201 al 207, Mantén la calma \n Debes suspender inmediatamente cualquier actividad que estes realizando \n Ubica las escaleras cerca del Auditorio Dr. Luis Lara Tapia \n Baja las escaleras \n Dirígite hacia el punto de reunión de la explanada principal \n Espera indicaciones del personal de la Comisión Local de Seguridad y/o de los brigadistas designados
Edificio :A, Segundo piso Salones A208 al 211 , Mantén la calma \n Debes suspender inmediatamente cualquier actividad que estes realizando \n Ubica las escaleras cerca del salón 211 \n Baja las escaleras \n Dirígite hacia el punto de reunión de la explanada principal \n Espera indicaciones del personal de la Comisión Local de Seguridad y/o de los brigadistas designados
Edificio : A, Tercer piso Salones A301 al 314, Mantén la calma \n Debes suspender inmediatamente cualquier actividad que estes realizando \n No bajes escaleras \n Ubícate en las zonas de menor riesgo y repliegue
Edificio : A, Sótano UDEMAT, Mantén la calma \n Debes suspender inmediatamente cualquier actividad que estes realizando \n Sal al exterior \n Dirígite hacia el punto de reunión de la explanada principal \n Espera indicaciones del personal de la Comisión Local de Seguridad y/o de los brigadistas designados 
Edificio : B, Biblioteca "Dra. Graciela Rodriguez Ortega", Mantén la calma \n Debes suspender inmediatamente cualquier actividad que estes realizando \n Sal al exterior \n Dirígite hacia el punto de reunión de la explanada principal \n Espera indicaciones del personal de la Comisión Local de Seguridad y/o de los brigadistas designados
Edificio : B, Primer piso, Mantén la calma \n Debes suspender inmediatamente cualquier actividad que estes realizando \n Baja las escaleras y sal por la planta baja \n Dirgíte hacia el punto de reunión de la explanada principal
Edificio : B, Segundo piso, Mantén la calma \n Debes suspender inmediatamente cualquier actividad que estes realizando \n Ubícate en las zonas de menor riesgo y repliegue
Edificio : C, Planta baja, Mantén la calma \n Debes suspender inmediatamente cualquier actividad que estes realizando \n Sal al exterior \n Dirígite hacia el punto de reunión del Edificio C \n Espera indicaciones del personal de la Comisión Local de Seguridad y/o de los brigadistas designados
Edificio : C, Primer piso, Mantén la calma \n Debes suspender inmediatamente cualquier actividad que estes realizando \n Ubícate en las zonas de menor riesgo y repliegue \n Espera indicaciones del personal de la Comisión Local de Seguridad y/o de los brigadistas designados
Edificio : C, Segundo piso, Mantén la calma \n Debes suspender inmediatamente cualquier actividad que estes realizando \n Ubícate en las zonas de menor riesgo y repliegue \n Espera indicaciones del personal de la Comisión Local de Seguridad y/o de los brigadistas designados
Edificio : D, Planta baja Mezzanine, Mantén la calma \n Debes suspender inmediatamente cualquier actividad que estes realizando \n Sal al exterior \n Dirígite hacia el punto de reunión del Edificio D \n Espera indicaciones del personal de la Comisión Local de Seguridad y/o de los brigadistas designados
Edificio : D, Primer piso, Mantén la calma \n Debes suspender inmediatamente cualquier actividad que estes realizando \n No uses el elevador \n Ubícate en las zonas de menor riesgo y repliegue \n Espera indicaciones del personal de la Comisión Local de Seguridad y/o de los brigadistas designados
Edificio : D, Segundo piso, Mantén la calma \n Debes suspender inmediatamente cualquier actividad que estes realizando \n No uses el elevador \n Ubícate en las zonas de menor riesgo y repliegue \n Espera indicaciones del personal de la Comisión Local de Seguridad y/o de los brigadistas designados
Edificio : D, Centro de Atención Psicológica "Dr. Guillermo Dávila", Mantén la calma \n Debes suspender inmediatamente cualquier actividad que estes realizando \n No uses el elevador \n Sube las escaleras y dirígete hacia el punto de reunión del Edificio D \n Espera indicaciones del personal de la Comisión Local de Seguridad y/o de los brigadistas designados
Edificio : D, Auditorio "Dra. Silvia Macotela", Mantén la calma \n Debes suspender inmediatamente cualquier actividad que estes realizando \n Sal al exterior \n Dirígite hacia el punto de reunión del Edificio D Auditorio "Dra. Silvia Macotela" \n Espera indicaciones del personal de la Comisión Local de Seguridad y/o de los brigadistas designados
Edificio : E, Planta baja "Centro de Documentación", Mantén la calma \n Debes suspender inmediatamente cualquier actividad que estes realizando \n Sal al exterior \n Dirígite hacia el punto de reunión del Edificio E \n Espera indicaciones del personal de la Comisión Local de Seguridad y/o de los brigadistas designados
Lic. Guillermo Huerta Juárez Secretario Administrativo y Secretario de la Comisión Local de Seguridad \n 55-4510-0172
